state_province,state_province_code,FIPS
Alabama,AL,1
Alaska,AK,2
Alberta,AB,
American Samoa,AS,3
Arizona,AZ,4
Arkansas,AK,5
Baker Island,BI,81
British Columbia,BC,
California,CA,6
Canal Zone,CZ,7
Colorado,CO,8
Connecticut,CT,9
Delaware,DE,10
Diamond Princess,DI,
Florida,FL,12
Federated States of Micronesia,FM,64
Georgia,GA,13
Grand Princess,GR,
Guam,GU,14
Hawaii,HI,15
Idaho,ID,16
Illinois,IL,17
Indiana,IN,18
Iowa,IA,19
Jarvis Island,JI,86
Johnston Atoll,JA,67
Kansas,KS,20
Kentucky,KY,21
Kingman Reef,KR,89
Louisiana,LA,22
Maine,ME,23
Marshall Islands,MH,68
Manitoba,MB,
Maryland,MD,24
Massachusetts,MA,25
Michigan,MI,26
Minnesota,MN,27
Mississippi,MS,28
Missouri,MO,29
Montana,MT,30
Navassa Island,NI,76
Nebraska,NE,31
Nevada,NV,32
New Brunswick,NB,
New Hampshire,NH,33
New Jersey,NJ,34
New Mexico,NM,35
New York,NY,36
Newfoundland and Labrador,NL,
North Carolina,NC,37
North Dakota,ND,38
Northern Mariana Islands,MP,69
Northwest Territories,NT,
Nova Scotia,NS,
Nunavut,NU,
Ohio,OH,39
Oklahoma,OK,40
Ontario,ON,
Oregon,OR,41
Palau,PW,70
Palmyra Atoll,PA,95
Pennsylvania,PA,42
Prince Edward Island,PE,
Puerto Rico,PR,43
Quebec,QC,
Rhode Island,RI,44
Saskatchewan,SK,
South Carolina,SC,45
South Dakota,SD,46
Tennessee,TN,47
Texas,TX,48
US Minor Outlying Islands,UM,74
Utah,UT,49
Vermont,VT,50
Virginia,VA,51
Virgin Islands of the US,VI,11
Washington,WA,53
"Washington, DC",DC,11
West Virginia,WV,54
Wisconsin,WI,55
Wyoming,WY,56
Yukon,YT,
